Item_Identifier,Outlet_Identifier,Item_Outlet_Sales_SVM
FDR39,OUT027,1903.274331801759
FDP12,OUT027,1599.1587864470828
DRF60,OUT027,1857.0913534931815
FDC09,OUT035,1745.082989613919
FDF50,OUT018,1816.9436515887799
FDG28,OUT035,1843.2436393780995
NCE19,OUT017,1640.2794540120767
NCM53,OUT010,1750.1235437959047
NCN18,OUT049,1756.165901753297
FDF32,OUT035,1847.517250596687
FDF11,OUT013,1846.9957082877604
DRI59,OUT049,1845.1683811784073
NCG54,OUT035,1877.3704627751627
FDM44,OUT046,1743.156867084254
FDT57,OUT018,1855.169459054944
FDV24,OUT046,1820.626916084941
FDI50,OUT019,1845.4797079059676
FDS09,OUT035,1627.5835627614958
NCC31,OUT027,1841.2153466940272
FDQ07,OUT019,1832.1856061634433
FDC22,OUT017,1859.6234066902687
FDZ56,OUT046,1860.0643346309375
FDZ40,OUT019,1611.5957966502476
FDS46,OUT027,1794.1152578455178
DRD24,OUT045,1816.7067338066345
FDV45,OUT017,1881.416050591237
FDL26,OUT045,1837.404977119641
FDA56,OUT018,1792.824929040331
FDN27,OUT046,1788.8203686344007
FDM20,OUT049,1849.6837857955588
FDO16,OUT017,1738.3920963721562
FDL03,OUT035,1849.820799207045
FDE58,OUT046,1786.9085802159436
FDI02,OUT027,1771.4679884258614
NCC55,OUT019,1583.7088167763288
FDR03,OUT018,1818.112235079251
FDB14,OUT017,1734.5110795485743
FDR45,OUT013,1849.2606304374717
NCN07,OUT017,1795.424047142369
FDM51,OUT019,1741.81525003757
FDT52,OUT027,1853.420910400262
FDL26,OUT046,1833.2542030303762
NCZ42,OUT046,1847.354410044382
DRI47,OUT019,1825.709186162751
FDW40,OUT013,1820.1715580641765
FDN34,OUT046,1863.3189455467511
FDS01,OUT035,1894.33634882331
NCG55,OUT045,1786.2413629112962
FDC11,OUT035,1735.5840888518176
FDX35,OUT018,1821.648347008283
NCB06,OUT046,1832.0330081362583
FDR09,OUT019,1860.1066406642153
FDC53,OUT017,1729.9719079897982
FDY45,OUT013,1860.9464529125778
FDA22,OUT010,1840.4869791295541
FDE02,OUT035,1723.7921022541564
FDW21,OUT045,1756.1594668149569
FDV34,OUT046,1735.556103195413
FDS59,OUT049,1748.6930792204744
NCW17,OUT017,1797.0035368905249
NCK54,OUT046,1783.6331505598396
FDG17,OUT019,1846.5518384389286
FDG35,OUT017,1826.6983788929801
FDD08,OUT010,1626.1706645712998
NCO07,OUT017,1833.185850938717
FDJ10,OUT010,1812.2444833511825
FDW36,OUT017,1745.0967997306536
FDW21,OUT010,1756.4662408099948
FDY19,OUT017,1789.6484546920676
DRE03,OUT013,1672.2129618720146
NCC55,OUT049,1583.9703873859446
FDH52,OUT010,1698.794722369989
FDO09,OUT017,1843.0534276633562
FDU43,OUT045,1832.1912038129526
FDX09,OUT010,1869.9567369228262
FDH40,OUT019,1695.269207714671
FDW58,OUT017,1757.6106441017744
FDC47,OUT017,1849.9473760557698
NCR41,OUT035,1733.6388963609402
DRG49,OUT035,1833.1011312972075
FDC52,OUT027,1840.8649569053475
FDY13,OUT046,1722.3970714870218
FDY35,OUT013,1617.4045754499778
FDI35,OUT017,1904.786358386156
NCU18,OUT049,1820.0474039836174
FDY33,OUT018,1845.3358135670767
FDC15,OUT027,1848.1205226898742
FDU01,OUT049,1849.464707012011
NCU42,OUT046,1861.0798444452184
NCV29,OUT018,1891.3829887189147
NCY30,OUT017,1853.4071726885145
FDQ46,OUT049,1760.3432574963845
FDG58,OUT027,1841.4697118176791
FDK33,OUT017,1829.3899424115261
NCD07,OUT045,1774.10674044789
NCX29,OUT027,1838.488089915731
NCT42,OUT013,1826.6592402175393
DRN59,OUT035,1584.8180777371635
FDI44,OUT035,1711.2282881571566
FDA45,OUT049,1836.1111892391777
FDP31,OUT045,1757.8557708986987
FDY01,OUT046,1775.7526711871976
FDT09,OUT018,1796.182062211289
DRH03,OUT027,1744.1534477245284
FDA36,OUT018,1845.4227856191808
NCF31,OUT017,1832.6740915541966
FDG14,OUT049,1832.8794224216776
FDG28,OUT027,1853.26332638569
FDU14,OUT049,1847.1428837398273
FDY47,OUT019,1790.2122276226773
FDI56,OUT049,1711.2919336636994
DRD01,OUT013,1630.2914122504392
FDM22,OUT046,1617.8575189321748
FDH33,OUT013,1555.5251887061283
DRZ24,OUT013,1782.0469627773919
NCQ38,OUT046,1744.348240671172
FDO16,OUT027,1701.613309927924
FDU07,OUT027,1843.9795164263612
NCB07,OUT013,1850.8948863858243
FDU48,OUT045,1793.4157225004983
NCM43,OUT045,1854.6059200981965
FDR31,OUT010,1824.5421040331835
DRK49,OUT018,1565.0504329452194
NCI30,OUT010,1819.077925276017
DRD60,OUT017,1895.2125527003263
NCG19,OUT046,1827.20418844723
FDH12,OUT035,1748.3686007857652
FDM32,OUT035,1735.0874946439192
FDM27,OUT035,1841.378281560491
NCU53,OUT027,1861.8507009378816
NCQ18,OUT046,1743.677677541073
FDS10,OUT013,1861.317203523965
FDB33,OUT027,1847.9658626298728
FDI12,OUT013,1701.613112475485
NCW42,OUT013,1825.4538452733818
NCC06,OUT018,1792.5657738075483
FDW02,OUT017,1792.1527984726767
NCD43,OUT017,1749.5772398450629
FDM57,OUT018,1697.1911987658577
FDA58,OUT017,1845.5397191099598
FDK56,OUT046,1880.1456829641584
FDP52,OUT045,1835.3634973091941
FDW20,OUT018,1791.5696546754232
FDS52,OUT049,1740.8795663597614
NCT29,OUT018,1792.1694568497835
NCL54,OUT013,1896.8669969279258
FDC05,OUT045,1870.283649116805
FDF34,OUT035,1865.4780902210491
FDP03,OUT027,1802.3272396540758
FDD32,OUT010,1722.0061181859708
FDZ10,OUT045,1796.6577688224816
FDZ40,OUT035,1633.4099090848752
FDD51,OUT018,1570.7252649286113
NCY30,OUT019,1880.1511832569158
FDP58,OUT017,1838.3933021722285
FDV49,OUT017,1843.5826929987948
FDY24,OUT019,1608.0900283392223
NCO55,OUT017,1744.533087148312
FDR13,OUT017,1779.5976782347097
FDS51,OUT017,1668.4824445734823
FDP26,OUT045,1751.3078360097497
NCB54,OUT027,1797.3401544763447
FDF32,OUT017,1867.014368451095
FDN31,OUT018,1891.7682748492123
DRM48,OUT017,1620.5230910216894
FDN20,OUT049,1832.8474394584991
DRL01,OUT046,1829.397903794302
FDV56,OUT049,1744.4312877824368
DRH13,OUT027,1752.4096657016996
FDA03,OUT017,1829.9315141216828
FDF47,OUT027,1848.4449392507984
FDX32,OUT046,1837.0539193588934
FDX57,OUT049,1735.8498969841003
NCA30,OUT045,1856.926579843948
FDO49,OUT013,1600.8664712537168
FDL04,OUT019,1737.7051786662232
DRM48,OUT035,1603.974536746979
FDR16,OUT013,1820.9270959390394
NCC19,OUT018,1848.6959911155968
NCE42,OUT045,1821.999294154848
FDY24,OUT017,1706.454113537316
FDH19,OUT049,1850.3212580774625
FDJ46,OUT013,1892.167630247293
FDN45,OUT010,1818.9302855266824
FDY08,OUT035,1811.4281447372487
FDZ37,OUT035,1706.8004033182651
NCT30,OUT045,1620.5807213511146
DRY23,OUT018,1604.357613760194
NCZ30,OUT018,1790.1076859246502
FDC44,OUT018,1770.7732603093348
FDB45,OUT035,1759.6734036405485
FDY04,OUT013,1830.543524074623
FDM27,OUT046,1842.0113641446871
FDZ43,OUT017,1853.7591128445915
FDT39,OUT019,1825.2413154571866
NCC06,OUT019,1788.5809853555168
FDL15,OUT027,1841.4255718932536
FDL57,OUT017,1873.6784604158506
FDU08,OUT046,1736.484580388576
FDK40,OUT017,1833.9856998092434
FDQ12,OUT010,1854.1309956797097
FDS48,OUT017,1841.5122319658774
FDP09,OUT045,1821.123964906239
FDW21,OUT049,1748.757893818282
FDY25,OUT035,1895.4615363656008
DRE13,OUT017,1725.3193395939081
FDV43,OUT019,1561.0810713328199
FDD22,OUT045,1758.9054495536996
FDM46,OUT019,1722.351735551979
NCO30,OUT010,1850.5225299020283
FDM25,OUT046,1887.346152193481
NCN41,OUT049,1798.8792762735695
FDU24,OUT045,1720.5647063237452
FDZ50,OUT046,1892.6128776973194
FDP45,OUT013,1858.0402828838278
NCM54,OUT045,1797.3918131950488
FDW10,OUT019,1883.4411379893402
FDP20,OUT017,1793.8061581732345
FDK32,OUT046,1834.9991593138952
FDN52,OUT049,1699.964458029801
FDM58,OUT045,1758.35696196734
FDZ46,OUT027,1763.0421786458855
NCA18,OUT018,1780.0568941326537
FDD35,OUT046,1793.3737813842247
NCK31,OUT035,1600.7812744621654
FDI40,OUT027,1752.6414495970832
FDT50,OUT019,1739.0864824985197
NCT06,OUT046,1835.4426952335195
FDT31,OUT035,1854.3685037213115
FDT45,OUT049,1625.6865394459967
FDT13,OUT045,1893.4878393554839
FDO50,OUT045,1715.5270306997757
NCU18,OUT010,1812.7925408858894
NCR54,OUT049,1874.2354542873165
NCO18,OUT018,1894.898579747568
FDU09,OUT045,1658.1239047802196
FDT13,OUT018,1887.722918688721
FDE09,OUT046,1759.5134473773387
NCK53,OUT019,1742.6310625161786
FDG45,OUT049,1832.108169433507
DRH15,OUT035,1618.2364365790288
FDO21,OUT019,1838.9041987816352
FDD14,OUT027,1896.2897291639752
FDC09,OUT046,1744.2288328687748
FDH45,OUT027,1560.8879524553936
FDV32,OUT046,1721.1774601656034
FDG12,OUT035,1786.234093147134
FDS32,OUT013,1809.3924005998927
NCL55,OUT018,1858.744625962828
DRE01,OUT035,1846.1605733579886
DRE15,OUT049,1708.0862022202007
NCL42,OUT045,1831.7922197231003
FDP31,OUT013,1750.3290819104413
FDN33,OUT018,1724.3062878331443
FDZ59,OUT046,1828.194449366291
FDE45,OUT010,1891.0579032018431
FDJ07,OUT013,1781.6943849871352
FDQ45,OUT018,1878.5600765892773
FDM33,OUT027,1841.3581645519346
FDO15,OUT010,1729.3498695873377
FDM46,OUT013,1717.5320310400898
FDR03,OUT045,1819.1744873041316
FDY49,OUT018,1837.9657600347493
FDQ60,OUT045,1784.5689355599868
FDW10,OUT049,1831.813365430419
FDO51,OUT049,1656.6859190772561
FDJ40,OUT018,1748.9669992294869
FDS20,OUT018,1869.3738487344838
FDU45,OUT013,1767.3023903305807
FDV02,OUT035,1859.2246211341828
FDN09,OUT046,1853.34436774882
NCM55,OUT027,1894.0462635226875
FDN23,OUT018,1827.6334802220374
FDY31,OUT010,1825.2464176864382
FDW03,OUT010,1763.339531309521
FDD14,OUT046,1847.1590817993813
FDV23,OUT017,1796.3072741097753
DRI03,OUT045,1840.8239872694269
FDN13,OUT035,1745.2929459197453
FDF45,OUT027,1651.7931240311987
FDU46,OUT035,1698.5280741071322
FDB57,OUT049,1816.3409125039148
FDV12,OUT049,1742.6301418923867
FDQ58,OUT013,1827.6883259691294
NCA18,OUT017,1777.7700010181618
FDH52,OUT049,1670.3323921888364
FDM24,OUT018,1822.4536500480303
NCP43,OUT027,1898.5404572003986
NCO18,OUT019,1881.0597724549486
FDM32,OUT017,1734.8704223449627
NCL07,OUT017,1577.0134920288997
FDK03,OUT013,1865.7628549443261
FDP59,OUT017,1758.0596689592342
FDQ24,OUT049,1858.658081851599
FDQ16,OUT018,1755.5322731620415
FDU44,OUT013,1847.1630912024084
FDH28,OUT010,1597.8612090383751
FDV28,OUT019,1620.8574481342084
FDM22,OUT045,1610.2645418556956
FDR56,OUT046,1873.44488932391
FDV39,OUT049,1879.1656989097676
FDU37,OUT019,1698.3675921044228
FDQ11,OUT010,1824.2046732675656
FDX02,OUT045,1839.311323841813
NCS42,OUT018,1719.7983559618663
FDY57,OUT027,1742.5793494394154
FDB21,OUT049,1829.8469098899204
FDE28,OUT017,1854.698351741959
FDQ55,OUT017,1772.6252192171867
FDA48,OUT049,1846.9693739925451
FDZ19,OUT045,1848.9579655235611
NCC43,OUT045,1837.858233248849
NCV18,OUT046,1730.7215035858114
NCA42,OUT018,1822.2545908608552
FDY45,OUT046,1861.1218508980087
NCC30,OUT045,1887.1482394597278
FDM57,OUT013,1696.2625057058906
FDL09,OUT010,1818.7417730664786
FDB09,OUT027,1802.51944765423
FDT44,OUT035,1793.4301342056542
NCT06,OUT027,1857.2133900251747
FDX26,OUT049,1881.7665067043372
FDK32,OUT013,1836.4884651788147
DRA12,OUT046,1825.7647366855736
FDO46,OUT010,1876.9970451447323
FDE52,OUT013,1699.3821618625732
NCH42,OUT045,1834.8475967040445
FDV08,OUT035,1638.732420572819
FDB47,OUT018,1831.7757899761652
FDC28,OUT010,1754.8838199362524
FDD22,OUT046,1765.915110905065
FDS07,OUT027,1785.271073818065
DRI13,OUT045,1834.8810757030815
FDG32,OUT018,1817.5077582251538
FDU14,OUT017,1848.3875560864726
FDD28,OUT019,1640.1635222166854
NCP41,OUT017,1750.7554564588318
FDS08,OUT049,1838.5812747537118
FDX47,OUT045,1821.8693573498138
FDC53,OUT019,1740.771212783531
FDQ19,OUT035,1826.8345868649953
FDL14,OUT045,1828.5002735542391
FDM33,OUT019,1834.2507176006786
FDA51,OUT045,1764.7214055463926
FDZ27,OUT018,1638.2777928269747
FDT04,OUT046,1611.227862493444
DRC13,OUT049,1792.4580706744168
FDR16,OUT027,1835.3292443913492
FDQ03,OUT027,1858.1068047424528
FDE38,OUT035,1835.5479433915268
DRH23,OUT027,1635.1409366554126
FDT11,OUT019,1877.6984646504764
FDD09,OUT035,1900.0397240515397
FDR40,OUT045,1707.5045222296385
FDX07,OUT017,1867.0070618530738
FDR07,OUT035,1752.9333144515144
FDA51,OUT017,1768.0957743693239
FDT59,OUT019,1850.763286810957
FDF20,OUT017,1895.0470698110692
FDR13,OUT045,1772.594699668276
FDY26,OUT049,1813.1386821492763
FDW04,OUT017,1786.9249962786932
FDK52,OUT017,1831.4646051640702
FDN60,OUT049,1845.4217164195682
FDM09,OUT019,1873.3063394525334
FDP46,OUT049,1704.7744634628968
FDB50,OUT019,1700.0980448668638
NCQ29,OUT049,1866.9306432481767
FDP16,OUT027,1855.1015729061992
FDX33,OUT018,1836.8430199711295
FDP07,OUT010,1850.2908832632725
FDN22,OUT046,1840.0586751586843
FDF39,OUT049,1861.4996660411646
FDS21,OUT017,1716.471584578777
NCM42,OUT013,1763.8531193955655
FDK50,OUT019,1841.9655046087896
DRF13,OUT027,1843.1211573392623
FDH35,OUT018,1825.9977322314735
FDP60,OUT018,1743.5975155801705
DRJ49,OUT027,1796.3013432544758
NCT42,OUT019,1826.4962336606716
FDE38,OUT049,1835.540967047783
FDI04,OUT049,1864.1901782252
NCH54,OUT045,1848.156952402983
FDT56,OUT049,1656.1295810634267
DRD15,OUT018,1852.1616545568684
FDV58,OUT013,1838.0005724374626
FDP21,OUT049,1865.237434073412
FDH05,OUT013,1858.154478391222
FDR10,OUT027,1853.8388378680818
NCP06,OUT045,1820.1845707984774
FDF33,OUT049,1751.31957061689
DRK37,OUT013,1834.1326902779688
DRH49,OUT045,1737.4134756404633
FDT58,OUT013,1853.4247758106737
FDD41,OUT018,1757.4180612094274
FDP40,OUT018,1769.4941032414895
FDM51,OUT027,1752.9062708450717
FDO45,OUT010,1700.6662827857588
FDW33,OUT010,1745.4603185846383
FDY24,OUT045,1705.3632596750033
FDB10,OUT010,1843.7835165773615
FDM40,OUT035,1822.867534357751
NCI06,OUT017,1892.0713834327703
FDW12,OUT019,1820.977013749965
FDX48,OUT027,1842.8165148977046
NCW05,OUT027,1750.948940816335
FDX27,OUT017,1743.5039165878688
DRM37,OUT045,1860.5503709587358
FDA38,OUT045,1812.6459472654726
FDR36,OUT046,1655.171968162518
FDZ45,OUT046,1859.360699327677
FDG05,OUT017,1844.5650122390616
FDK28,OUT013,1829.7215562633423
FDV47,OUT045,1711.602022462817
FDN21,OUT045,1829.8711954304881
FDP20,OUT027,1799.2762948244142
FDI35,OUT045,1904.2148071008194
DRY23,OUT013,1609.7867159394248
FDA56,OUT017,1795.5783014241101
FDB09,OUT013,1799.4948054928975
NCO26,OUT027,1791.615308654205
FDQ49,OUT018,1821.2109980582336
FDI52,OUT027,1802.3160829500243
FDZ44,OUT027,1792.391279663816
FDZ09,OUT018,1831.0869586203796
FDY03,OUT049,1769.2988092398446
NCG42,OUT017,1794.1682119926493
DRI13,OUT027,1836.7611921923287
FDQ32,OUT013,1796.657748650976
FDW16,OUT035,1717.4857232805036
FDU27,OUT046,1647.5371381475215
FDR28,OUT010,1844.8748417644372
FDQ49,OUT010,1817.3179858056894
FDS37,OUT046,1773.2719237517167
FDW26,OUT018,1842.089493181121
FDX12,OUT018,1835.7442616234744
NCP06,OUT013,1820.1232993245053
FDW45,OUT010,1825.3452138701357
NCN30,OUT049,1731.4433169283789
FDN24,OUT049,1606.0455204451491
NCL41,OUT027,1678.5786656502005
FDR02,OUT019,1742.383441734307
FDD09,OUT010,1893.9251770538233
FDS33,OUT010,1719.807982458472
FDU22,OUT045,1793.7656249318059
FDI53,OUT013,1837.5834869499067
DRH01,OUT049,1868.5663873483732
FDX32,OUT013,1829.8393032504014
NCP30,OUT018,1688.6107181343946
FDB60,OUT045,1874.2775283085923
FDB14,OUT049,1736.3715706039388
NCP02,OUT035,1680.367995843205
FDJ10,OUT017,1807.7520030722692
FDG34,OUT046,1753.2342883309857
NCB18,OUT017,1729.3350479632727
FDM16,OUT049,1747.8243744716142
FDW25,OUT018,1738.9348012804971
FDB35,OUT010,1719.9035198892288
DRN11,OUT013,1829.0117050451224
FDF41,OUT019,1849.356295600159
FDH16,OUT045,1700.896431075128
NCQ50,OUT018,1822.3110880032868
DRH23,OUT018,1640.6012933486425
DRJ37,OUT013,1833.3312178362528
DRJ24,OUT027,1894.534224141072
FDY16,OUT035,1874.116038116732
FDQ27,OUT045,1765.5060433462222
FDZ33,OUT045,1842.1207234716564
FDF29,OUT045,1797.1803601874967
FDA08,OUT049,1851.4369503042512
FDG31,OUT046,1709.8159137348089
FDE34,OUT019,1878.3110940507918
NCR30,OUT027,1733.9707291739921
FDV33,OUT035,1857.3582556576223
DRZ24,OUT018,1786.9126325739476
NCL54,OUT035,1893.4044516372412
FDR12,OUT049,1894.9765723763028
NCC54,OUT046,1837.9481417327538
DRN59,OUT013,1585.649175845946
FDX50,OUT019,1746.0401271374542
FDV31,OUT027,1903.587295109616
NCA29,OUT027,1894.941704603038
FDW60,OUT049,1832.797372103811
FDX08,OUT017,1902.8917900798065
DRD49,OUT013,1844.645243221757
FDD33,OUT046,1858.9194841932197
FDW35,OUT013,1574.2820271027642
FDJ36,OUT017,1745.5264280925387
FDV51,OUT035,1848.8910192536414
FDW36,OUT046,1742.2889377850097
FDH35,OUT046,1830.025570208803
NCS30,OUT027,1796.0950569381507
FDN49,OUT017,1622.1113045981035
FDL08,OUT018,1851.401633447297
FDI09,OUT013,1821.5142584248547
FDP19,OUT018,1790.9847154383972
FDU21,OUT010,1673.335697248491
NCP41,OUT045,1745.5487442967574
FDY10,OUT013,1766.7172385038575
FDP12,OUT018,1621.7953041098422
NCN26,OUT049,1778.889848494288
FDK44,OUT013,1873.1656716681373
FDC28,OUT049,1753.444239723378
FDJ41,OUT027,1853.0127288802005
NCT29,OUT035,1796.3843732828948
NCH42,OUT019,1844.158103444288
FDU60,OUT018,1818.5324331305565
FDS02,OUT045,1889.3830749894237
FDC51,OUT046,1793.1377751401044
FDU03,OUT013,1869.9706298685494
FDX39,OUT045,1834.4549681079786
NCY05,OUT010,1599.3157034661517
NCL06,OUT027,1865.3352598841
FDD32,OUT035,1724.5978685511047
NCN41,OUT045,1799.1774615482943
NCX53,OUT049,1805.6627201412527
FDU57,OUT019,1826.0727380084177
FDQ23,OUT046,1758.0690821961505
FDQ52,OUT045,1848.1495796381032
FDC14,OUT045,1563.5650959986453
FDY09,OUT035,1890.0131150921661
FDQ28,OUT045,1846.8077647439814
FDV25,OUT046,1820.1361120567783
FDJ07,OUT035,1774.2602519434342
DRB25,OUT049,1743.8341359721971
FDK52,OUT019,1840.3641363139975
FDY52,OUT027,1687.6356832865156
FDB28,OUT046,1834.7331148180144
FDT36,OUT035,1602.5252841994252
FDV25,OUT017,1824.0780032454006
NCN07,OUT027,1796.407268449412
FDC57,OUT017,1848.289551386224
FDQ03,OUT018,1854.383298376148
FDU23,OUT017,1868.5213036786508
NCX41,OUT035,1822.4254349444411
NCD06,OUT035,1578.4170723228135
FDW08,OUT045,1745.283285727332
NCU29,OUT017,1834.8382986466938
NCE06,OUT013,1819.1276566627696
FDV52,OUT010,1786.2905339755437
FDB02,OUT017,1884.4353735014038
NCR18,OUT045,1578.567882090666
FDK16,OUT049,1719.6361653264166
NCQ29,OUT010,1861.682219149673
FDZ01,OUT019,1741.0103452377007
FDW27,OUT035,1817.6955687087395
FDD17,OUT018,1826.3209534278797
FDW39,OUT013,1847.164444881572
DRH59,OUT045,1742.071043318286
FDS52,OUT013,1745.936526250298
FDU40,OUT027,1892.4252975959118
NCF54,OUT013,1857.5554915514826
FDH46,OUT045,1754.1723822845142
NCP14,OUT049,1750.1060622707816
FDH50,OUT049,1893.352832673462
DRF15,OUT010,1826.8112901687434
FDV27,OUT027,1709.8728961626148
NCJ06,OUT049,1793.1323937410564
FDN02,OUT018,1816.149666206337
FDQ51,OUT049,1590.0748176835725
