Item_Identifier,Outlet_Identifier,Item_Outlet_Sales_KNN
DRL23,OUT027,1700.6795719999998
FDS28,OUT046,761.9614939999999
FDX24,OUT013,1335.7479340000002
FDZ02,OUT035,1383.4525039999999
FDL46,OUT045,1858.6139899999998
FDS60,OUT027,3382.889852
NCO06,OUT017,535.163382
FDO16,OUT035,1377.5069099999998
FDC60,OUT049,1313.3703959999998
FDA48,OUT018,3406.452514
FDZ36,OUT027,3435.8675579999995
FDK27,OUT045,1943.1705900000002
FDW23,OUT018,615.33236
FDM14,OUT018,1800.9490519999997
FDM14,OUT013,1722.1982280000002
FDW60,OUT018,2578.9496679999997
FDE21,OUT013,1987.3331039999998
NCM42,OUT035,1636.0570240000002
FDY59,OUT010,1347.77894
DRI49,OUT049,1191.941792
FDT28,OUT019,2042.587846
FDQ22,OUT018,533.80515
FDR60,OUT049,1252.3231939999998
FDC50,OUT019,1672.8757640000001
FDV24,OUT013,2124.075108
DRF48,OUT010,2897.8412359999998
FDQ47,OUT046,593.3676180000001
DRN36,OUT049,1523.2172399999995
NCY06,OUT035,1926.9184120000002
FDE52,OUT035,1424.951818
NCB54,OUT045,1864.666112
NCF31,OUT035,2317.509982
FDJ08,OUT027,3271.9609140000002
NCC07,OUT017,1585.063402
NCD19,OUT027,987.168344
FDL46,OUT049,1935.2875179999996
FDM20,OUT045,4015.180138
NCI06,OUT010,3192.384498
DRM11,OUT035,3741.4963900000002
NCH07,OUT018,2565.1409760000006
FDS23,OUT013,1864.293264
FDO49,OUT018,740.0100679999999
FDS35,OUT049,1033.767686
DRK39,OUT045,1365.9419639999999
DRI39,OUT049,957.673404
FDV04,OUT017,2205.8553220000003
NCN14,OUT035,2976.432268
FDH08,OUT013,3737.295192000001
FDS20,OUT046,2972.1112259999995
FDV40,OUT049,1130.215474
FDZ48,OUT010,1450.1989540000004
FDS24,OUT027,1536.353474
FDK44,OUT049,2636.228442
FDS48,OUT045,2481.143648
FDK26,OUT010,2919.8525839999993
FDD23,OUT045,2880.097666
NCH54,OUT017,2682.7878359999995
NCP14,OUT010,1450.025846
FDM60,OUT010,665.021014
FDV24,OUT017,2159.568906
FDH08,OUT018,3806.2254659999994
FDS12,OUT027,2137.9037740000003
FDR39,OUT027,3708.0532560000006
FDP12,OUT027,598.647412
DRF60,OUT027,3833.589846
FDC09,OUT035,1530.5809880000002
FDF50,OUT018,2692.5151739999997
FDG28,OUT035,3908.6255060000008
NCE19,OUT017,810.3718120000001
NCM53,OUT010,1469.1076740000003
NCN18,OUT049,1744.6356880000003
FDF32,OUT035,2817.372648
FDF11,OUT013,3839.242488
DRI59,OUT049,3572.6095619999996
NCG54,OUT035,2933.5081419999997
FDM44,OUT046,1695.4064360000002
FDT57,OUT018,3790.878776
FDV24,OUT046,2180.5748960000005
FDI50,OUT019,3572.549640000001
FDS09,OUT035,739.464112
NCC31,OUT027,2536.937688
FDQ07,OUT019,3162.81632
FDC22,OUT017,3194.4285040000004
FDZ56,OUT046,2537.170718
FDZ40,OUT019,917.152816
FDS46,OUT027,1992.033652
DRD24,OUT045,2100.89861
FDV45,OUT017,2779.6084720000003
FDL26,OUT045,2514.9396559999996
FDA56,OUT018,1852.268916
FDN27,OUT046,1922.144626
FDM20,OUT049,3720.257370000001
FDO16,OUT017,1350.6085900000003
FDL03,OUT035,2851.241894
FDE58,OUT046,1857.5620260000003
FDI02,OUT027,2037.501134
NCC55,OUT019,575.917
FDR03,OUT018,3680.329344
FDB14,OUT017,1271.325126
FDR45,OUT013,3983.7344040000003
NCN07,OUT017,2018.1596440000003
FDM51,OUT019,1545.0022159999996
FDT52,OUT027,3996.1782060000005
FDL26,OUT046,2425.57598
NCZ42,OUT046,3876.3874699999997
DRI47,OUT019,2290.445212
FDW40,OUT013,2237.9002760000003
FDN34,OUT046,2684.4922839999995
FDS01,OUT035,2985.5137799999998
NCG55,OUT045,1974.543086
FDC11,OUT035,1197.827464
FDX35,OUT018,3660.861352000001
NCB06,OUT046,2597.0993759999997
FDR09,OUT019,3726.6157600000006
FDC53,OUT017,1367.173694
FDY45,OUT013,3847.9444940000003
FDA22,OUT010,2379.4959619999995
FDE02,OUT035,1341.5870000000002
FDW21,OUT045,1573.7048540000003
FDV34,OUT046,1261.704316
FDS59,OUT049,1648.5341159999998
NCW17,OUT017,1968.810548
NCK54,OUT046,1848.0544020000002
FDG17,OUT019,3815.8263019999995
FDG35,OUT017,2553.5960039999995
FDD08,OUT010,580.61089
NCO07,OUT017,3368.4819399999997
FDJ10,OUT010,2190.3488399999997
FDW36,OUT017,1673.328508
FDW21,OUT010,1551.0743120000002
FDY19,OUT017,1915.766262
DRE03,OUT013,648.196248
NCC55,OUT049,645.1202519999999
FDH52,OUT010,975.3171040000001
FDO09,OUT017,3955.970544
FDU43,OUT045,3673.2319159999997
FDX09,OUT010,2568.35679
FDH40,OUT019,1177.5738279999998
FDW58,OUT017,1549.2500200000002
FDC47,OUT017,3739.4723580000004
NCR41,OUT035,1429.8920540000001
DRG49,OUT035,3703.1662840000004
FDC52,OUT027,2562.517724
FDY13,OUT046,1227.741858
FDY35,OUT013,609.2469480000001
FDI35,OUT017,3301.2627719999996
NCU18,OUT049,2127.836878
FDY33,OUT018,2659.052066
FDC15,OUT027,2581.992374
FDU01,OUT049,2814.982426
NCU42,OUT046,2686.875848
NCV29,OUT018,3226.839648
NCY30,OUT017,2918.26798
FDQ46,OUT049,1742.7314999999999
FDG58,OUT027,2541.3452840000004
FDK33,OUT017,3452.67235
NCD07,OUT045,1756.107422
NCX29,OUT027,2406.26778
NCT42,OUT013,2207.965908
DRN59,OUT035,682.0055719999999
FDI44,OUT035,1142.692566
FDA45,OUT049,2502.6423300000006
FDP31,OUT045,935.7752420000002
FDY01,OUT046,1961.4468
FDT09,OUT018,2092.383028
DRH03,OUT027,1923.0301399999996
FDA36,OUT018,2931.6106119999995
NCF31,OUT017,2183.797368
FDG14,OUT049,2222.87317
FDG28,OUT027,3994.4138359999993
FDU14,OUT049,3910.556325999999
FDY47,OUT019,1941.1931639999998
FDI56,OUT049,1303.230262
DRD01,OUT013,970.789664
FDM22,OUT046,850.1999679999999
FDH33,OUT013,608.101772
DRZ24,OUT013,1774.763138
NCQ38,OUT046,1458.6879040000003
FDO16,OUT027,1315.381112
FDU07,OUT027,2487.781674
NCB07,OUT013,2713.8474060000003
FDU48,OUT045,2027.8803240000002
NCM43,OUT045,2890.2577739999997
FDR31,OUT010,2302.875698
DRK49,OUT018,605.5717319999999
NCI30,OUT010,3832.3314840000003
DRD60,OUT017,2948.0292399999994
NCG19,OUT046,3629.988206
FDH12,OUT035,1581.4547660000003
FDM32,OUT035,1325.6011420000002
FDM27,OUT035,2327.983016
NCU53,OUT027,2905.098456
NCQ18,OUT046,1351.0946239999998
FDS10,OUT013,2522.3966159999995
FDB33,OUT027,2568.483292
FDI12,OUT013,1353.6313220000002
NCW42,OUT013,3380.2133360000007
NCC06,OUT018,1899.4275299999997
FDW02,OUT017,1913.2428799999998
NCD43,OUT017,1582.799682
FDM57,OUT018,1291.3191000000002
FDA58,OUT017,3798.6220300000004
FDK56,OUT046,2778.5631659999995
FDP52,OUT045,3772.45609
FDW20,OUT018,1957.0125719999999
FDS52,OUT049,1600.8561779999998
NCT29,OUT018,1880.3856499999997
NCL54,OUT013,3224.655824000001
FDC05,OUT045,3448.1049619999994
FDF34,OUT035,2656.8282939999995
FDP03,OUT027,2318.541972
FDD32,OUT010,1151.288044
FDZ10,OUT045,1963.9635239999998
FDZ40,OUT035,769.8911720000001
FDD51,OUT018,677.0853100000002
NCY30,OUT019,2938.4017719999997
FDP58,OUT017,3148.1221140000002
FDV49,OUT017,3668.2850220000005
FDY24,OUT019,783.400254
NCO55,OUT017,1584.5707099999997
FDR13,OUT017,1728.8096220000004
FDS51,OUT017,1077.2777159999998
FDP26,OUT045,1635.298012
NCB54,OUT027,2192.193106
FDF32,OUT017,2830.9616260000003
FDN31,OUT018,3116.1437399999995
DRM48,OUT017,572.62129
FDN20,OUT049,2633.1591039999994
DRL01,OUT046,3733.0939940000007
FDV56,OUT049,1455.5719599999998
DRH13,OUT027,1741.8792759999997
FDA03,OUT017,2307.3831640000003
FDF47,OUT027,3856.1604659999994
FDX32,OUT046,2374.868652
FDX57,OUT049,1455.392194
NCA30,OUT045,2703.21458
FDO49,OUT013,715.9014500000001
FDL04,OUT019,1424.97845
DRM48,OUT035,559.644848
FDR16,OUT013,3272.180628
NCC19,OUT018,2838.8114079999996
NCE42,OUT045,3682.193584
FDY24,OUT017,746.6281199999999
FDH19,OUT049,2453.2932340000007
FDJ46,OUT013,3072.007858
FDN45,OUT010,3521.329646
FDY08,OUT035,2033.413122
FDZ37,OUT035,1366.8740839999998
NCT30,OUT045,717.605898
DRY23,OUT018,671.552512
NCZ30,OUT018,1876.9900699999996
FDC44,OUT018,2016.521776
FDB45,OUT035,1563.3383479999998
FDY04,OUT013,2367.0321860000004
FDM27,OUT046,2481.9625819999997
FDZ43,OUT017,3766.7635000000005
FDT39,OUT019,2169.4560359999996
NCC06,OUT019,1971.4138259999997
FDL15,OUT027,2569.8282080000004
FDL57,OUT017,4090.8749399999997
FDU08,OUT046,1412.8276
FDK40,OUT017,3885.4157179999997
FDQ12,OUT010,3786.284756
FDS48,OUT017,2492.941624
FDP09,OUT045,3365.212862
FDW21,OUT049,1522.3517000000002
FDY25,OUT035,3098.293642
DRE13,OUT017,1390.3701659999997
FDV43,OUT019,572.508104
FDD22,OUT045,1807.041122
FDM46,OUT019,1655.07893
NCO30,OUT010,2784.2690719999996
FDM25,OUT046,2537.743306
NCN41,OUT049,1932.4378939999997
FDU24,OUT045,1385.4499039999998
FDZ50,OUT046,3232.9383759999996
FDP45,OUT013,4024.900817999999
NCM54,OUT045,1870.718234
FDW10,OUT019,2695.970676000001
FDP20,OUT017,1948.889812
FDK32,OUT046,2406.4542039999997
FDN52,OUT049,1302.3048
FDM58,OUT045,1604.005412
FDZ46,OUT027,1883.428356
NCA18,OUT018,1785.469202
FDD35,OUT046,1920.3403079999998
NCK31,OUT035,655.6332339999999
FDI40,OUT027,1753.038084
FDT50,OUT019,1603.9055420000002
NCT06,OUT046,2350.187446
FDT31,OUT035,2727.0369039999996
FDT45,OUT049,848.7618399999999
FDT13,OUT045,3327.0358900000006
FDO50,OUT045,1378.1061300000001
NCU18,OUT010,2037.3746320000005
NCR54,OUT049,2822.0665380000005
NCO18,OUT018,3407.551084
FDU09,OUT045,769.758012
FDT13,OUT018,3294.691326
FDE09,OUT046,1802.7600280000001
NCK53,OUT019,1640.045166
FDG45,OUT049,3221.666382
DRH15,OUT035,688.2241439999999
FDO21,OUT019,3507.780616
FDD14,OUT027,3525.9236659999997
FDC09,OUT046,1431.230312
FDH45,OUT027,682.1520479999999
FDV32,OUT046,940.5756600000001
FDG12,OUT035,1891.930622
FDS32,OUT013,2155.2079160000003
NCL55,OUT018,3934.4319139999993
DRE01,OUT035,3871.02778
DRE15,OUT049,1255.092922
NCL42,OUT045,4015.146848
FDP31,OUT013,875.0942300000002
FDN33,OUT018,1340.6082740000002
FDZ59,OUT046,2368.9763219999995
FDE45,OUT010,3147.582816
FDJ07,OUT013,1793.3789060000001
FDQ45,OUT018,3423.756656
FDM33,OUT027,3393.489388
FDO15,OUT010,1161.62126
FDM46,OUT013,1333.19792
FDR03,OUT045,3688.705108
FDY49,OUT018,2405.7085079999997
FDQ60,OUT045,1796.5148239999999
FDW10,OUT049,2535.5594820000006
FDO51,OUT049,691.260192
FDJ40,OUT018,1661.0311819999997
FDS20,OUT018,3212.0255979999997
FDU45,OUT013,1852.3288380000001
FDV02,OUT035,2714.16699
FDN09,OUT046,3797.2105340000003
NCM55,OUT027,3460.209206
FDN23,OUT018,2315.4326859999996
FDY31,OUT010,2330.8659300000004
FDW03,OUT010,1555.7548859999997
FDD14,OUT046,2861.8014820000008
FDV23,OUT017,2157.977644
DRI03,OUT045,2659.2384899999997
FDN13,OUT035,1493.9220399999997
FDF45,OUT027,1080.3870019999997
FDU46,OUT035,1365.32277
FDB57,OUT049,3476.1884059999993
FDV12,OUT049,1449.2801499999998
FDQ58,OUT013,2178.8637900000003
NCA18,OUT017,1783.431854
FDH52,OUT049,932.073394
FDM24,OUT018,2131.5587
NCP43,OUT027,3594.108244
NCO18,OUT019,2837.193514
FDM32,OUT017,1268.595346
NCL07,OUT017,648.6157019999999
FDK03,OUT013,3852.3520900000008
FDP59,OUT017,1481.085416
FDQ24,OUT049,3816.6985000000004
FDQ16,OUT018,1568.012264
FDU44,OUT013,2629.1709619999997
FDH28,OUT010,536.847856
FDV28,OUT019,545.8827620000001
FDM22,OUT045,945.2895239999999
FDR56,OUT046,2782.9308140000007
FDV39,OUT049,3136.8035140000006
FDU37,OUT019,1163.378972
FDQ11,OUT010,3707.094504
FDX02,OUT045,3725.3041339999995
NCS42,OUT018,1394.4581779999999
FDY57,OUT027,1886.404482
FDB21,OUT049,3850.7009060000005
FDE28,OUT017,3778.0155199999995
FDQ55,OUT017,2062.655058
FDA48,OUT049,3591.398438
FDZ19,OUT045,2569.715022
NCC43,OUT045,4010.4130099999998
NCV18,OUT046,1343.1716040000001
NCA42,OUT018,2180.0622300000005
FDY45,OUT046,3799.5208600000005
NCC30,OUT045,2645.5829319999993
FDM57,OUT013,1369.157778
FDL09,OUT010,2393.3379440000003
FDB09,OUT027,2241.169354
FDT44,OUT035,1981.22106
NCT06,OUT027,2823.837566
FDX26,OUT049,2907.7416819999994
FDK32,OUT013,2588.284184
DRA12,OUT046,1984.6565879999998
FDO46,OUT010,2938.3817979999994
FDE52,OUT013,1426.2234959999998
NCH42,OUT045,3540.897508
FDV08,OUT035,636.73783
FDB47,OUT018,3382.517004
FDC28,OUT010,1613.1801359999997
FDD22,OUT046,1671.7039560000003
FDS07,OUT027,2156.452962
DRI13,OUT045,3054.15776
FDG32,OUT018,3484.0448460000002
FDU14,OUT017,3887.0868760000008
FDD28,OUT019,923.4246519999999
NCP41,OUT017,1519.3089940000002
FDS08,OUT049,2587.0524539999997
FDX47,OUT045,2208.6516819999997
FDC53,OUT019,1598.6790119999998
FDQ19,OUT035,3772.8955180000007
FDL14,OUT045,2121.7581240000004
FDM33,OUT019,3214.176131999999
FDA51,OUT045,1778.9843099999998
FDZ27,OUT018,697.452132
FDT04,OUT046,591.7164339999999
DRC13,OUT049,1899.1079459999999
FDR16,OUT027,2886.0166280000003
FDQ03,OUT027,3787.1170060000004
FDE38,OUT035,2453.5928440000002
DRH23,OUT027,1069.3280639999998
FDT11,OUT019,2860.563094
FDD09,OUT035,3174.487793999999
FDR40,OUT045,1314.55552
FDX07,OUT017,2932.0700139999994
FDR07,OUT035,1382.447146
FDA51,OUT017,1736.0468680000004
FDT59,OUT019,3758.500922
FDF20,OUT017,3404.714776
FDR13,OUT045,1754.6293459999997
FDY26,OUT049,3451.80681
FDW04,OUT017,1932.1649160000002
FDK52,OUT017,3661.2741480000004
FDN60,OUT049,2723.235186
FDM09,OUT019,2782.964103999999
FDP46,OUT049,1375.968912
FDB50,OUT019,1196.04312
NCQ29,OUT049,4159.08615
FDP16,OUT027,3975.198848
FDX33,OUT018,2399.683018
FDP07,OUT010,2621.640764
FDN22,OUT046,3702.207531999999
FDF39,OUT049,4044.5485759999997
FDS21,OUT017,820.478656
NCM42,OUT013,1640.0052180000002
FDK50,OUT019,2533.728532
DRF13,OUT027,2523.382
FDH35,OUT018,2312.2168720000004
FDP60,OUT018,1398.3264759999997
DRJ49,OUT027,2201.1414579999996
NCT42,OUT019,2082.229578
FDE38,OUT049,2445.043972
FDI04,OUT049,3319.319268
NCH54,OUT045,2671.515842
FDT56,OUT049,926.7536520000001
DRD15,OUT018,3797.077373999999
FDV58,OUT013,2742.0573520000007
FDP21,OUT049,3052.8527919999997
FDH05,OUT013,3936.8754
FDR10,OUT027,2779.2555980000006
NCP06,OUT045,2302.116686
FDF33,OUT049,1529.0030419999998
DRK37,OUT013,3016.70651
DRH49,OUT045,1190.2306859999999
FDT58,OUT013,2455.4237940000003
FDD41,OUT018,1613.1002399999998
FDP40,OUT018,1687.4701000000005
FDM51,OUT027,1778.1653760000004
FDO45,OUT010,1467.0436940000002
FDW33,OUT010,1474.3674939999996
FDY24,OUT045,733.6317039999999
FDB10,OUT010,3750.0652359999995
FDM40,OUT035,2000.4427060000003
NCI06,OUT017,3127.309206
FDW12,OUT019,2011.155428
FDX48,OUT027,2645.7893299999996
NCW05,OUT027,1685.119826
FDX27,OUT017,1380.9490959999998
DRM37,OUT045,3236.060978
FDA38,OUT045,3595.6062939999997
FDR36,OUT046,631.91078
FDZ45,OUT046,3287.2210500000006
FDG05,OUT017,2461.442626
FDK28,OUT013,3820.686642
FDV47,OUT045,1187.22127
FDN21,OUT045,2552.564014
FDP20,OUT027,2130.007386
FDI35,OUT045,3320.74408
DRY23,OUT013,695.421442
FDA56,OUT017,1956.439984
FDB09,OUT013,2018.0464580000003
NCO26,OUT027,1946.5728279999998
FDQ49,OUT018,2465.2043960000005
FDI52,OUT027,2138.6694439999997
FDZ44,OUT027,1964.8756700000001
FDZ09,OUT018,2328.016306
FDY03,OUT049,1706.784958
NCG42,OUT017,2004.8170119999997
DRI13,OUT027,3175.2601219999992
FDQ32,OUT013,1799.2712359999998
FDW16,OUT035,1275.5529560000002
FDU27,OUT046,655.686498
FDR28,OUT010,2665.7300400000004
FDQ49,OUT010,2402.1464779999997
FDS37,OUT046,1640.7775459999998
FDW26,OUT018,3463.911054
FDX12,OUT018,3910.3232960000005
NCP06,OUT013,2312.250162
FDW45,OUT010,2220.54287
NCN30,OUT049,1454.293624
FDN24,OUT049,911.3536980000001
NCL41,OUT027,531.67459
FDR02,OUT019,1430.4180359999996
FDD09,OUT010,3139.626505999999
FDS33,OUT010,1296.67879
FDU22,OUT045,1833.4600659999999
FDI53,OUT013,2421.388098
DRH01,OUT049,2465.983382
FDX32,OUT013,2391.6734440000005
NCP30,OUT018,537.660132
FDB60,OUT045,2807.3190680000007
FDB14,OUT049,1301.70558
NCP02,OUT035,777.780902
FDJ10,OUT017,2173.4308620000006
FDG34,OUT046,1707.7570259999995
NCB18,OUT017,1225.3782680000002
FDM16,OUT049,1268.009442
FDW25,OUT018,1383.9052479999998
FDB35,OUT010,1634.3059700000001
DRN11,OUT013,2206.6742560000002
FDF41,OUT019,3883.6180579999996
FDH16,OUT045,1550.2820100000006
NCQ50,OUT018,3295.403732
DRH23,OUT018,994.152586
DRJ37,OUT013,2389.28988
DRJ24,OUT027,3545.5581079999997
FDY16,OUT035,2955.7125719999995
FDQ27,OUT045,1693.6953300000005
FDZ33,OUT045,2357.977306
FDF29,OUT045,2099.6269320000006
FDA08,OUT049,2638.026102
FDG31,OUT046,1061.005564
FDE34,OUT019,3041.0548159999994
NCR30,OUT027,1241.171044
FDV33,OUT035,4073.184634
DRZ24,OUT018,1774.2038659999996
NCL54,OUT035,3054.2176820000004
FDR12,OUT049,3188.5095419999993
NCC54,OUT046,3841.286494
DRN59,OUT013,716.5339600000001
FDX50,OUT019,1535.60112
FDV31,OUT027,3388.242884
NCA29,OUT027,3335.8177920000003
FDW60,OUT049,2615.3289800000002
FDX08,OUT017,3659.2834059999996
DRD49,OUT013,3790.5392179999994
FDD33,OUT046,3627.165214
FDW35,OUT013,642.3571819999999
FDJ36,OUT017,1594.2847320000003
FDV51,OUT035,2444.165116
FDW36,OUT046,1447.8220480000004
FDH35,OUT046,2381.50002
NCS30,OUT027,2138.1700939999996
FDN49,OUT017,523.298826
FDL08,OUT018,3933.120288000001
FDI09,OUT013,3725.45061
FDP19,OUT018,2037.9805100000003
FDU21,OUT010,482.23894
NCP41,OUT045,1578.232294
FDY10,OUT013,1687.3169659999999
FDP12,OUT018,597.8085040000001
NCN26,OUT049,1881.6107220000004
FDK44,OUT013,2717.1963800000003
FDC28,OUT049,1594.2447840000002
FDJ41,OUT027,4018.20287
NCT29,OUT035,2096.5509359999996
NCH42,OUT019,3723.1402840000005
FDU60,OUT018,2338.12315
FDS02,OUT045,3026.2207920000005
FDC51,OUT046,1759.2899460000003
FDU03,OUT013,2987.1250159999995
FDX39,OUT045,3564.007426
NCY05,OUT010,568.2603
NCL06,OUT027,4084.5964460000005
FDD32,OUT035,1155.9686179999999
NCN41,OUT045,1924.0155240000001
NCX53,OUT049,2190.195706
FDU57,OUT019,2151.692492
FDQ23,OUT046,1714.654714
FDQ52,OUT045,3817.4042479999994
FDC14,OUT045,639.840458
FDY09,OUT035,2561.9451360000003
FDQ28,OUT045,2653.399424
FDV25,OUT046,3484.990282
FDJ07,OUT035,1651.663376
DRB25,OUT049,1482.263882
FDK52,OUT019,3614.0955599999998
FDY52,OUT027,1078.8023980000003
FDB28,OUT046,2716.823532000001
FDT36,OUT035,576.343112
FDV25,OUT017,3458.1252520000003
NCN07,OUT027,2190.0092820000004
FDC57,OUT017,2784.3423099999995
FDQ03,OUT018,3807.5770399999997
FDU23,OUT017,2817.412596
NCX41,OUT035,3224.1231840000005
NCD06,OUT035,745.3697579999998
FDW08,OUT045,1504.3218359999998
NCU29,OUT017,2380.0485759999997
NCE06,OUT013,2348.7360019999996
FDV52,OUT010,1883.9942859999999
FDB02,OUT017,2701.35034
NCR18,OUT045,616.8703579999999
FDK16,OUT049,1382.041008
NCQ29,OUT010,4070.2085079999997
FDZ01,OUT019,1468.628298
FDW27,OUT035,2161.7260979999996
FDD17,OUT018,3710.230422
FDW39,OUT013,2580.867172
DRH59,OUT045,1278.5357399999998
FDS52,OUT013,1649.4396040000001
FDU40,OUT027,3387.2242100000003
NCF54,OUT013,2496.310572
FDH46,OUT045,1684.8535060000002
NCP14,OUT049,1711.425584
FDH50,OUT049,3045.7220740000002
DRF15,OUT010,2215.5094220000005
FDV27,OUT027,1529.5489979999998
NCJ06,OUT049,1952.9844820000005
FDN02,OUT018,3659.60299
FDQ51,OUT049,693.916734
FDQ07,OUT017,3652.1127400000005
FDS45,OUT049,1706.951408
NCJ06,OUT045,1962.6652140000003
FDD36,OUT035,1881.0581080000004
FDY25,OUT045,3457.885564
FDU52,OUT046,2139.1754520000004
DRK47,OUT017,3916.8681099999994
NCL30,OUT017,1970.4817059999998
FDN22,OUT035,3815.9927519999997
NCF30,OUT027,2199.496932
FDK03,OUT035,3977.6822819999998
FDT45,OUT017,985.6103720000001
NCC54,OUT027,3999.4006779999995
FDP08,OUT018,2682.3217759999998
FDU44,OUT046,2707.0695619999997
DRG39,OUT035,840.2462580000001
FDU32,OUT049,1909.687508
FDY27,OUT049,2641.4216819999997
NCP54,OUT013,2054.9251200000003
NCZ41,OUT049,1925.819842
DRL49,OUT013,2169.07653
FDI05,OUT018,1364.0111440000003
FDY56,OUT045,3695.5295579999993
DRC13,OUT013,1922.244496
NCV29,OUT017,3334.7658279999996
FDR24,OUT049,1298.123576
FDZ34,OUT018,2960.9857079999997
FDP37,OUT035,1855.624548
FDX08,OUT027,3721.8819220000005
FDS57,OUT045,2178.1114360000006
NCG18,OUT049,1537.9181039999999
FDK25,OUT018,2813.650826
FDH53,OUT049,1164.078062
DRI59,OUT018,3707.300901999999
FDA52,OUT046,2406.640628
FDT20,OUT010,640.2199639999999
FDE36,OUT019,2451.9283440000004
FDI24,OUT017,2762.0513260000002
FDB28,OUT018,2711.1775480000006
FDV11,OUT017,2619.709944
FDP01,OUT046,2292.54914
FDD34,OUT027,2808.650668
FDJ50,OUT027,902.9513019999999
FDZ44,OUT013,1728.1438220000002
DRO59,OUT035,1225.984146
DRB48,OUT045,561.109608
FDR21,OUT018,2477.8479380000003
NCE42,OUT010,3608.922294
FDO23,OUT046,1388.7722459999998
NCE30,OUT018,3341.290668000001
FDQ22,OUT035,556.229294
